"gene_name","Control_1","Control_2","Control_3","Treatment_1","Treatment_2","Treatment_3"
1,3.49023065076089,4.5024395641909,8.10815893569189,14.5734917411285,14.9936023542576,13.9626028837025
2,15.2613834131156,5.37581942822197,3.49023065076089,14.6074319610929,3.49023065076089,7.84917485338318
3,11.0515619541932,10.8902998942457,14.8670479063887,13.7791430349116,13.5090375314144,9.59596229515508
4,12.8703421919904,12.728446075664,11.7042370329415,14.47435555765,8.89094771533673,12.6092889406777
5,11.2774119311962,12.0222977138132,10.7521906622509,13.3686464998954,13.8872399038403,13.3171701051046
6,9.84033466668422,11.9759280742893,12.1006182486296,12.5209226429222,13.8810451641448,13.0167662135728
7,12.0216290345139,12.026289182615,12.8812346410943,12.8788017058808,12.8102280664996,12.9186619937552
8,11.0469540066915,10.793694766678,10.9801778708767,14.2226094326443,10.7993472975091,13.1359739198331
9,12.4612663890475,12.3719796712709,11.8345666929681,12.6231236663281,12.9797170153253,12.4946705867568
10,11.2598843304795,10.2929570833159,10.9629018389874,13.1461746113538,13.5133479571606,12.817843036158
11,8.52845166931061,10.9972011191466,12.9777959861931,12.0113617005353,14.2076693041198,5.38066918739587
12,12.0910565612485,11.8621792013116,12.5379683197963,12.172291859529,12.1441134351,13.3075797225689
13,9.83881196742527,9.18051285822395,12.192121182507,13.8022291984148,12.646546103359,12.5795426330371
14,12.4216431780588,10.4567078569071,11.186560401544,12.9903325336503,13.4899657556419,11.9877574040278
15,12.728943746907,13.2320527597688,5.97228315961306,13.5079675376158,6.04672688352537,11.7668052601546
16,14.5156004222224,6.76432013129232,12.4713575897274,9.50701028715506,6.21069885610149,10.3734214862657
17,11.4593293282524,11.6883562292155,12.6325596433029,13.2529875612683,11.1075507716953,12.6931231007751
18,12.6738652078552,10.9503533676868,10.8872623131682,12.1416327292368,13.109709474362,12.8176500006533
19,13.4925615153199,9.17332867174132,11.8227406176376,12.6270736441473,12.6031678394021,11.2211326395808
20,7.97227258004244,13.4727533992392,12.6312479683509,10.8352469686362,13.0749755483929,11.0795453929043
21,12.5774246647256,12.3580591373325,12.4514285780984,12.2334504323576,12.1075173585682,11.8043087707674
22,13.0326252920683,12.2193766914232,11.5737560765061,11.8566069907966,12.5903039822301,11.8461713312679
23,12.8356504206061,11.3702344182116,12.0346816857307,10.8184556751444,11.1725876996956,13.4819083698266
24,11.7812415074027,12.5495703964374,13.0369419167643,11.7157469331789,10.4976789737592,12.7565283267704
25,12.6128192011844,12.0617239950863,12.221473231919,12.7146480014256,11.9051609074168,11.8816918767636
26,10.1013428778394,10.7700854595319,9.57350861826527,13.1061719485996,13.6892757730683,11.7287114377845
27,9.68798374197373,12.9252865975156,12.8434081894441,12.2472032191743,11.1822456157885,12.3005833396035
28,13.461611500703,13.650277243297,9.18730921521341,10.5173402520273,9.80324502864094,9.6227315076036
29,10.3168205836819,9.59674099442167,10.436924167393,13.1133859411385,13.1934260709595,12.4614487939073
30,12.0551223449837,11.7822178762378,11.1182905318801,12.8450969297241,11.5220986453507,12.6659305952244
31,11.969710483588,12.1161076614779,11.4884333866401,12.6490390277149,11.9883695100873,12.1173089326785
32,12.1097985504668,11.6912920987227,11.1522197066721,12.2854722224633,11.5670240807413,12.9926874838833
33,11.0737364080147,12.6605185149581,12.784249611648,11.3546833941111,12.1606958363771,11.5110462084785
34,12.4114369455866,8.95329863438652,11.8893620402328,10.8099861627409,13.4257369424421,11.6618941772166
35,5.22790408072017,8.30795445990652,14.2485299596904,8.31740369739676,12.4124841308838,4.58305784536937
36,12.2215032975435,11.348613112096,11.7042370329415,12.0631414522581,12.6214748325939,11.9952871429812
37,11.8172503742028,12.2507043263729,12.5770973105866,11.897878941566,10.7128668460565,12.3577276290932
38,12.1044232408553,12.2228591178684,12.2817921000386,10.9163911741025,10.6697485609686,12.8753599745015
39,13.6421150466819,11.1036670380398,11.1307209380092,12.4276299191358,10.2956099535518,9.90887052702905
40,12.4723551927217,12.1325555537609,12.1216326633302,11.5642157652932,12.2315919336828,11.2437235733432
41,10.8357390352768,11.9568849970312,12.0911086720092,12.5232794705291,12.3096687772327,11.785086630694
42,8.2078927505892,10.1587833398562,10.6574288828216,12.4954606030554,12.5348457706657,13.222067851648
43,11.2334767630381,11.356560986129,12.1826009833443,12.1818712799141,11.5656411326898,12.7535041151893
44,11.050246898971,12.2668197332945,10.6964182689237,12.1761911736565,11.7635737937213,12.8270784966501
45,12.0259839073399,11.62132839948,12.2717254078586,11.6012759948658,11.6782734242499,12.3754095031071
46,11.4478897721204,8.10117211031758,13.1841932610259,10.9206886358041,11.772792018114,12.5621335690133
47,11.3965528234459,9.54573491475434,12.034020097016,12.0654073839649,11.8444911321418,12.9792881148984
48,11.441383583486,11.2255578186038,11.7166588258234,12.6364661552838,11.0539817726931,12.6880633937954
49,12.6373294990865,11.4236678881311,12.335400410043,11.7206844178223,11.6667099230246,11.3717829252903
50,10.7629470612399,10.6090832103586,10.9255777685647,11.3365714824632,12.6722603699066,13.1647912671188
51,11.1382852392399,10.4177329585413,12.8657024200323,12.7195892009205,12.0169850049428,10.3596971866378
52,11.3314612579838,13.0053185918785,11.3775478203835,6.65791381701553,12.9633565203282,10.6892241906
53,12.6889427377061,11.1080678358056,10.412696582864,9.6690694178076,12.149662107071,12.9018246631772
54,11.346539148379,10.5099420920614,12.1380418471113,12.1638573688896,12.4702886493607,12.0544784420947
55,4.42031633038884,12.5626841016511,8.51368359559896,5.44629202559523,14.0155115675989,4.08423288932377
56,9.92887427011893,3.49023065076089,8.99394445247094,10.3069104584933,13.1632656746323,13.3945311139641
57,11.8164770540856,12.3456011289195,11.7199533194621,12.171390519145,9.40163275343318,12.2883763475232
58,10.2936670691179,11.0859283566312,11.1313396556158,12.5282163114508,12.4491949630392,12.3683100203242
59,12.2115378484181,8.5268222698544,9.42393307432706,13.4074401223323,11.3132763407235,11.5827724987936
60,12.3029883908021,11.2039880335252,10.4278864413466,12.6158538317536,12.4779055310591,10.2252725744649
61,12.3704012727179,11.701312819153,11.960721195747,11.9475110254394,10.2799524691588,12.0095538751266
62,12.0904169531152,11.7715570140636,11.324428667428,9.22825871766552,10.3725001616408,13.2258551286876
63,9.73948834385038,11.575756182266,12.2770471364222,12.4147392423066,11.4589424933122,12.2102377977218
64,10.3298861933851,10.403481071799,11.0969098800749,11.5932219851756,13.1112901352231,12.3290321568422
65,12.1685510151795,9.35574304344968,10.5569232082511,11.4744993015651,11.1207948353698,13.295016148021
66,12.0958446047934,10.9931281475333,12.2473889868679,12.211987981576,11.5019951069107,11.4942351698147
67,12.0623159172868,12.0464101386807,10.7529949677309,12.6640686942323,11.6301301623724,10.8669020833876
68,12.1338978303276,12.178712672509,11.4338049391986,12.4436451764429,11.5794113159206,10.0731445812945
69,11.8962255881152,11.7853615800168,11.2072487449517,12.1641594513508,12.0230437434675,11.6222126752741
70,5.58126789361101,3.49023065076089,10.78716261652,10.5892955768739,8.10795534154231,14.133630805614
71,9.56995490637873,12.3914518045381,12.891862502534,10.1177271185582,11.8475290868957,11.3665140830588
72,9.27794202725138,10.5493106055135,9.91567274860905,12.092959348504,13.0258713220938,12.4032058708783
73,6.08736943513696,13.9342206290598,9.62010738786172,10.4215295740767,3.49023065076089,11.6182281615599
74,10.1828160415152,12.2830351480602,11.0564352445165,11.7374277840985,11.3824593242019,12.7148457314067
75,13.280985166628,12.6079984668651,9.51969237742419,11.158197620977,5.09999042797577,10.8244918367922
76,10.6204645191272,9.16127488972615,11.1182905318801,9.2420655519861,12.6825041676147,13.2188554487982
77,11.4438894373836,9.47349391551127,10.5411780835526,11.5043928151728,12.1664853490843,13.0593489956715
78,10.1013428778394,9.17332867174132,10.6340431987074,12.9562000476329,12.3647778683197,12.1229442148765
79,11.1779619634812,11.7342212760028,11.7170710491975,11.2234279708717,11.266375087795,12.7589431399021
80,12.1015693596894,9.09184526252788,11.8379819899356,10.3908805027486,12.4219408627523,12.4075732267294
81,11.9144087255673,11.8385391937635,11.1972371710871,11.6512663880825,9.43231593751766,12.7585409516359
82,12.8206885662408,11.6422859957565,10.3555905582843,12.6475274133356,8.80911441280877,10.9117229486947
83,11.3736039589044,12.6051103474452,10.8996633855699,12.033355821029,11.6437380585206,11.165183075983
84,11.0303758479529,11.170715838131,13.0075877867551,11.8305799569871,10.71036584082,11.2454467723718
85,10.7954917091816,11.6208885290472,12.006293123252,11.9659947465609,11.5545295618008,12.073681227077
86,7.39827135492043,13.6118362430007,11.287712200921,9.93150955757902,10.6270707096081,11.3187537227285
